psgc,correspondence,name,geo_lvl,city_lvl,municity_psgc,province_psgc,region_psgc
0506213005,056213005,Bayasong,Bgy,,0506213000,0506200000,0500000000
0506213006,056213006,Bayawas,Bgy,,0506213000,0506200000,0500000000
0506213007,056213007,Binanuahan,Bgy,,0506213000,0506200000,0500000000
0506213009,056213009,Cabiguan,Bgy,,0506213000,0506200000,0500000000
0506213010,056213010,Cagdongon,Bgy,,0506213000,0506200000,0500000000
0506213021,056213021,Guiron,Bgy,,0506213000,0506200000,0500000000
0506213022,056213022,Ginablan,Bgy,,0506213000,0506200000,0500000000
0506213023,056213023,Inang,Bgy,,0506213000,0506200000,0500000000
0506213024,056213024,Inapugan,Bgy,,0506213000,0506200000,0500000000
0506213025,056213025,Lubiano,Bgy,,0506213000,0506200000,0500000000
0506213026,056213026,Leona,Bgy,,0506213000,0506200000,0500000000
0506213027,056213027,Lipason,Bgy,,0506213000,0506200000,0500000000
0506213028,056213028,Lourdes,Bgy,,0506213000,0506200000,0500000000
0506213029,056213029,Lungib,Bgy,,0506213000,0506200000,0500000000
0506213030,056213030,Lumbang,Bgy,,0506213000,0506200000,0500000000
0506213031,056213031,Mabanate,Bgy,,0506213000,0506200000,0500000000
0506213032,056213032,Malbog,Bgy,,0506213000,0506200000,0500000000
0506213033,056213033,Marifosque,Bgy,,0506213000,0506200000,0500000000
0506213034,056213034,Mercedes,Bgy,,0506213000,0506200000,0500000000
0506213035,056213035,Migabod,Bgy,,0506213000,0506200000,0500000000
0506213036,056213036,Naspi,Bgy,,0506213000,0506200000,0500000000
0102821022,012821022,Santa Magdalena,Bgy,,0102821000,0102800000,0100000000
0102821023,012821023,Santa Rosa,Bgy,,0102821000,0102800000,0100000000
0102821024,012821024,Santo Santiago,Bgy,,0102821000,0102800000,0100000000
0102821025,012821025,Santo Tomas,Bgy,,0102821000,0102800000,0100000000
0102822001,012822001,Aguitap,Bgy,,0102822000,0102800000,0100000000
0102822002,012822002,Bagbag,Bgy,,0102822000,0102800000,0100000000
0102822003,012822003,Bagbago,Bgy,,0102822000,0102800000,0100000000
0102822004,012822004,Barcelona,Bgy,,0102822000,0102800000,0100000000
0102822005,012822005,Bubuos,Bgy,,0102822000,0102800000,0100000000
0102822006,012822006,Capurictan,Bgy,,0102822000,0102800000,0100000000
