dataset_id,psgc,value,category,detail
elections-2022-president,1380601061,,Isko Moreno,"{""Isko_Moreno"":673,""Ping_Lacson"":26,""Leni_Robredo"":258,""Ernesto_Abella"":0,""Manny_Pacquiao"":7,""Bongbong_Marcos"":570,""Jose_Montemayor"":1,""Leody_de_Guzman"":1,""Faisal_Mangondato"":1,""Norberto_Gonzales"":0}"
elections-2022-president,1380601062,,Isko Moreno,"{""Isko_Moreno"":521,""Ping_Lacson"":11,""Leni_Robredo"":256,""Ernesto_Abella"":0,""Manny_Pacquiao"":11,""Bongbong_Marcos"":452,""Jose_Montemayor"":0,""Leody_de_Guzman"":3,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,0600000000,,Leni Robredo,"{""Isko_Moreno"":94968,""Ping_Lacson"":28696,""Leni_Robredo"":1300035,""Ernesto_Abella"":7173,""Manny_Pacquiao"":159099,""Bongbong_Marcos"":912306,""Jose_Montemayor"":3627,""Leody_de_Guzman"":5479,""Faisal_Mangondato"":2041,""Norberto_Gonzales"":4733}"
elections-2022-president,1380601065,,Isko Moreno,"{""Isko_Moreno"":196,""Ping_Lacson"":7,""Leni_Robredo"":77,""Ernesto_Abella"":0,""Manny_Pacquiao"":0,""Bongbong_Marcos"":165,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,1380601066,,Isko Moreno,"{""Isko_Moreno"":512,""Ping_Lacson"":15,""Leni_Robredo"":222,""Ernesto_Abella"":0,""Manny_Pacquiao"":7,""Bongbong_Marcos"":437,""Jose_Montemayor"":1,""Leody_de_Guzman"":0,""Faisal_Mangondato"":2,""Norberto_Gonzales"":0}"
elections-2022-president,1380601067,,Isko Moreno,"{""Isko_Moreno"":729,""Ping_Lacson"":16,""Leni_Robredo"":236,""Ernesto_Abella"":1,""Manny_Pacquiao"":6,""Bongbong_Marcos"":629,""Jose_Montemayor"":0,""Leody_de_Guzman"":2,""Faisal_Mangondato"":2,""Norberto_Gonzales"":1}"
elections-2022-president,1380601068,,Bongbong Marcos,"{""Isko_Moreno"":265,""Ping_Lacson"":7,""Leni_Robredo"":115,""Ernesto_Abella"":0,""Manny_Pacquiao"":3,""Bongbong_Marcos"":348,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,1380601069,,Isko Moreno,"{""Isko_Moreno"":534,""Ping_Lacson"":13,""Leni_Robredo"":275,""Ernesto_Abella"":0,""Manny_Pacquiao"":3,""Bongbong_Marcos"":439,""Jose_Montemayor"":0,""Leody_de_Guzman"":3,""Faisal_Mangondato"":0,""Norberto_Gonzales"":1}"
elections-2022-president,1380601070,,Isko Moreno,"{""Isko_Moreno"":593,""Ping_Lacson"":4,""Leni_Robredo"":248,""Ernesto_Abella"":0,""Manny_Pacquiao"":8,""Bongbong_Marcos"":566,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":0,""Norberto_Gonzales"":1}"
elections-2022-president,1380601071,,Isko Moreno,"{""Isko_Moreno"":555,""Ping_Lacson"":8,""Leni_Robredo"":232,""Ernesto_Abella"":0,""Manny_Pacquiao"":4,""Bongbong_Marcos"":350,""Jose_Montemayor"":0,""Leody_de_Guzman"":1,""Faisal_Mangondato"":2,""Norberto_Gonzales"":1}"
