psgc,level,name,pop_2010,pop_2015,pop_2020,pop_2024
0000000000,country,Philippines,92335113,100979303,109033245,112727776
0100000000,region,Region I (Ilocos Region),4748372,5026128,5301139,5342453
0102800000,province,Ilocos Norte,568017,593081,609588,618850
0102801000,municipality,Adams,1785,1792,2189,2279
0102801001,barangay,Adams,,,,2279
0102802000,municipality,Bacarra,31648,32215,33496,32734
0102802001,barangay,Bani,,,,1110
0102802002,barangay,Buyon,,,,1773
0102802003,barangay,Cabaruan,,,,1437
0102802004,barangay,Cabulalaan,,,,740
0102802005,barangay,Cabusligan,,,,1160
0102802006,barangay,Cadaratan,,,,1128
0102802007,barangay,Calioet-Libong,,,,779
0102802008,barangay,Casilian,,,,1089
0102802009,barangay,Corocor,,,,849
0102802011,barangay,Duripes,,,,1142
0102802012,barangay,Ganagan,,,,713
0102802013,barangay,Libtong,,,,1687
0102802014,barangay,Macupit,,,,602
0102802015,barangay,Nambaran,,,,1051
0102802016,barangay,Natba,,,,570
0102802017,barangay,Paninaan,,,,456
0102802018,barangay,Pasiocan,,,,1245
0102802019,barangay,Pasngal,,,,780
0102802020,barangay,Pipias,,,,933
0102802021,barangay,Pulangi,,,,994
0102802022,barangay,Pungto,,,,543
0102802024,barangay,San Agustin I,,,,455
0102802025,barangay,San Agustin II,,,,246
0102802027,barangay,San Andres I,,,,755
0102802028,barangay,San Andres II,,,,669
0102802030,barangay,San Gabriel I,,,,288
0102802031,barangay,San Gabriel II,,,,347
0102802033,barangay,San Pedro I,,,,365
0102802034,barangay,San Pedro II,,,,621
0102802036,barangay,San Roque I,,,,485
0102802037,barangay,San Roque II,,,,394
0102802039,barangay,San Simon I,,,,563
0102802040,barangay,San Simon II,,,,295
0102802041,barangay,San Vicente,,,,513
0102802042,barangay,Sangil,,,,1076
0102802044,barangay,Santa Filomena I,,,,269
0102802045,barangay,Santa Filomena II,,,,332
0102802046,barangay,Santa Rita,,,,999
0102802047,barangay,Santo Cristo I,,,,456
0102802048,barangay,Santo Cristo II,,,,428
0102802050,barangay,Tambidao,,,,813
0102802051,barangay,Teppang,,,,690
0102802052,barangay,Tubburan,,,,894
0102803000,municipality,Badoc,30708,31616,32530,32832
0102803001,barangay,Alay-Nangbabaan,,,,1082
0102803002,barangay,Alogoog,,,,963
0102803003,barangay,Ar-arusip,,,,834
0102803004,barangay,Aring,,,,1363
0102803005,barangay,Balbaldez,,,,315
0102803006,barangay,Bato,,,,999
0102803007,barangay,Camanga,,,,1209
0102803008,barangay,Canaan,,,,544
0102803009,barangay,Caraitan,,,,1480
0102803011,barangay,Gabut Norte,,,,1634
0102803012,barangay,Gabut Sur,,,,926
0102803013,barangay,Garreta,,,,1313
0102803016,barangay,Labut,,,,847
0102803017,barangay,Lacuben,,,,1778
0102803018,barangay,Lubigan,,,,1464
0102803020,barangay,Mabusag Norte,,,,1044
0102803021,barangay,Mabusag Sur,,,,1237
0102803022,barangay,Madupayas,,,,838
0102803023,barangay,Morong,,,,834
0102803025,barangay,Nagrebcan,,,,628
0102803026,barangay,Napu,,,,1472
0102803027,barangay,La Virgen Milagrosa,,,,1071
0102803028,barangay,Pagsanahan Norte,,,,1158
0102803029,barangay,Pagsanahan Sur,,,,1439
0102803030,barangay,Paltit,,,,1490
0102803031,barangay,Parang,,,,430
0102803032,barangay,Pasuc,,,,470
0102803034,barangay,Santa Cruz Norte,,,,1123
0102803035,barangay,Santa Cruz Sur,,,,753
0102803036,barangay,Saud,,,,1358
0102803037,barangay,Turod,,,,736
