level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
province,CAR,,Abra,,,,,,,,,,
province,CAR,,Apayao,7036949,1135307,5901642,1862315,1005232,-113616,743467,1888927,-271377,1617550
province,CAR,,Benguet,6658318,808212,5850106,2304115,2789909,336073,-149721,948311,80309,1028620
province,CAR,,Ifugao,4282353,931685,3350668,1461792,1107208,-474008,-119423,1422984,-215298,1207686
province,CAR,,Kalinga,5497417,1429611,4067806,1682211,1451819,-66746,163646,992873,-456800,536073
province,CAR,,Mountain Province,8519747,1065788,7453959,1376672,1363825,146646,159493,520591,-1268,519324
province,REGION I,,Ilocos Norte,12907956,3153354,9754602,4218278,2882615,-55169,1280493,3098227,1322764,4420991
province,REGION I,,Ilocos Sur,26118116,4179443,21938673,9721093,4427356,-40448,5253289,6531600,1771886,8303487
province,REGION I,,La Union,11279057,1150013,10129045,3536044,2172905,51167,1414306,3316310,524181,3840490
province,REGION I,,Pangasinan,20471665,4881851,15589814,7727507,6787535,217397,1157368,6577337,-757646,5819691
province,REGION II,,Batanes,2147110,506710,1640399,689472,598554,-40968,49950,771027,113278,884305
province,REGION II,,Cagayan,14233643,1539214,12694429,3937141,2687009,-29183,1220948,5983416,775772,6759189
province,REGION II,,Isabela,20423014,4686183,15736832,6933361,5215585,-222345,1495431,5325290,1532047,6857336
province,REGION II,,Nueva Vizcaya,7873511,1868425,6005086,2280797,2020956,-69197,190644,1459691,-146331,1313360
province,REGION II,,Quirino,5436419,1148827,4287591,1698565,1626569,-26783,45213,1042154,-16760,1025394
province,REGION III,,Aurora,5197129,1067521,4129608,1599042,1462326,-28946,107770,1127801,-178441,949360
province,REGION III,,Bataan,13483261,4804956,8678305,4421502,3615499,302415,1108418,786417,619175,1405591
province,REGION III,,Bulacan,15477403,2159054,13318349,8810991,7433051,69774,1447714,2269509,126401,2395910
province,REGION III,,Nueva Ecija,16170009,5052960,11117050,4930130,4566933,-206478,156720,4204216,-54090,4150126
province,REGION III,,Pampanga,21194360,4580462,16613898,5847425,5009459,-235374,602591,7150706,136598,7287304
province,REGION III,,Tarlac,18714937,4068064,14646873,3469637,2809418,-96410,563809,2176436,781518,2957954
