psgc,correspondence,name,geo_lvl,city_lvl,province_psgc,region_psgc
0102901000,012901000,Alilem,Mun,,0102900000,0100000000
0102902000,012902000,Banayoyo,Mun,,0102900000,0100000000
0102903000,012903000,Bantay,Mun,,0102900000,0100000000
0102904000,012904000,Burgos,Mun,,0102900000,0100000000
0102905000,012905000,Cabugao,Mun,,0102900000,0100000000
0102906000,012906000,City of Candon,City,CC,0102900000,0100000000
0102907000,012907000,Caoayan,Mun,,0102900000,0100000000
0102908000,012908000,Cervantes,Mun,,0102900000,0100000000
0102909000,012909000,Galimuyod,Mun,,0102900000,0100000000
0102910000,012910000,Gregorio del Pilar,Mun,,0102900000,0100000000
0102911000,012911000,Lidlidda,Mun,,0102900000,0100000000
0102912000,012912000,Magsingal,Mun,,0102900000,0100000000
0102913000,012913000,Nagbukel,Mun,,0102900000,0100000000
0102914000,012914000,Narvacan,Mun,,0102900000,0100000000
0102915000,012915000,Quirino,Mun,,0102900000,0100000000
0102916000,012916000,Salcedo,Mun,,0102900000,0100000000
0102917000,012917000,San Emilio,Mun,,0102900000,0100000000
0102918000,012918000,San Esteban,Mun,,0102900000,0100000000
0102919000,012919000,San Ildefonso,Mun,,0102900000,0100000000
0102920000,012920000,San Juan,Mun,,0102900000,0100000000
0102921000,012921000,San Vicente,Mun,,0102900000,0100000000
0102922000,012922000,Santa,Mun,,0102900000,0100000000
0102923000,012923000,Santa Catalina,Mun,,0102900000,0100000000
0102924000,012924000,Santa Cruz,Mun,,0102900000,0100000000
0102925000,012925000,Santa Lucia,Mun,,0102900000,0100000000
0102926000,012926000,Santa Maria,Mun,,0102900000,0100000000
0102927000,012927000,Santiago,Mun,,0102900000,0100000000
0102928000,012928000,Santo Domingo,Mun,,0102900000,0100000000
0102929000,012929000,Sigay,Mun,,0102900000,0100000000
0102930000,012930000,Sinait,Mun,,0102900000,0100000000
0102931000,012931000,Sugpon,Mun,,0102900000,0100000000
0102932000,012932000,Suyo,Mun,,0102900000,0100000000
0102933000,012933000,Tagudin,Mun,,0102900000,0100000000
0102934000,012934000,City of Vigan,City,CC,0102900000,0100000000
0103301000,013301000,Agoo,Mun,,0103300000,0100000000
0103302000,013302000,Aringay,Mun,,0103300000,0100000000
0103303000,013303000,Bacnotan,Mun,,0103300000,0100000000
0103304000,013304000,Bagulin,Mun,,0103300000,0100000000
0103305000,013305000,Balaoan,Mun,,0103300000,0100000000
0103306000,013306000,Bangar,Mun,,0103300000,0100000000
0103307000,013307000,Bauang,Mun,,0103300000,0100000000
0103308000,013308000,Burgos,Mun,,0103300000,0100000000
0103309000,013309000,Caba,Mun,,0103300000,0100000000
0103310000,013310000,Luna,Mun,,0103300000,0100000000
0103311000,013311000,Naguilian,Mun,,0103300000,0100000000
0103312000,013312000,Pugo,Mun,,0103300000,0100000000
0103313000,013313000,Rosario,Mun,,0103300000,0100000000
0103314000,013314000,City of San Fernando,City,CC,0103300000,0100000000
0103315000,013315000,San Gabriel,Mun,,0103300000,0100000000
0103316000,013316000,San Juan,Mun,,0103300000,0100000000
0103317000,013317000,Santo Tomas,Mun,,0103300000,0100000000
0103318000,013318000,Santol,Mun,,0103300000,0100000000
0103319000,013319000,Sudipen,Mun,,0103300000,0100000000
0103320000,013320000,Tubao,Mun,,0103300000,0100000000
0105501000,015501000,Agno,Mun,,0105500000,0100000000
0105502000,015502000,Aguilar,Mun,,0105500000,0100000000
0105503000,015503000,City of Alaminos,City,CC,0105500000,0100000000
0105504000,015504000,Alcala,Mun,,0105500000,0100000000
0105505000,015505000,Anda,Mun,,0105500000,0100000000
0105506000,015506000,Asingan,Mun,,0105500000,0100000000
0105507000,015507000,Balungao,Mun,,0105500000,0100000000
0105508000,015508000,Bani,Mun,,0105500000,0100000000
0105509000,015509000,Basista,Mun,,0105500000,0100000000
0105510000,015510000,Bautista,Mun,,0105500000,0100000000
0105511000,015511000,Bayambang,Mun,,0105500000,0100000000
0105512000,015512000,Binalonan,Mun,,0105500000,0100000000
0105513000,015513000,Binmaley,Mun,,0105500000,0100000000
0105514000,015514000,Bolinao,Mun,,0105500000,0100000000
0105515000,015515000,Bugallon,Mun,,0105500000,0100000000
0105516000,015516000,Burgos,Mun,,0105500000,0100000000
0105517000,015517000,Calasiao,Mun,,0105500000,0100000000
0105518000,015518000,Dagupan City,City,ICC,0105500000,0100000000
0105519000,015519000,Dasol,Mun,,0105500000,0100000000
0105520000,015520000,Infanta,Mun,,0105500000,0100000000
0105521000,015521000,Labrador,Mun,,0105500000,0100000000
0105522000,015522000,Lingayen,Mun,,0105500000,0100000000
0105523000,015523000,Mabini,Mun,,0105500000,0100000000
0105524000,015524000,Malasiqui,Mun,,0105500000,0100000000
0105525000,015525000,Manaoag,Mun,,0105500000,0100000000
0105526000,015526000,Mangaldan,Mun,,0105500000,0100000000
0105527000,015527000,Mangatarem,Mun,,0105500000,0100000000
0105528000,015528000,Mapandan,Mun,,0105500000,0100000000
0105529000,015529000,Natividad,Mun,,0105500000,0100000000
0105530000,015530000,Pozorrubio,Mun,,0105500000,0100000000
0105531000,015531000,Rosales,Mun,,0105500000,0100000000
0105532000,015532000,San Carlos City,City,CC,0105500000,0100000000
0105533000,015533000,San Fabian,Mun,,0105500000,0100000000
0105534000,015534000,San Jacinto,Mun,,0105500000,0100000000
