psgc,correspondence,name,geo_lvl,city_lvl,region_psgc
1300000000,130000000,Metro Manila,Prov,,1300000000
0102800000,012800000,Ilocos Norte,Prov,,0100000000
0102900000,012900000,Ilocos Sur,Prov,,0100000000
0103300000,013300000,La Union,Prov,,0100000000
0105500000,015500000,Pangasinan,Prov,,0100000000
0200900000,020900000,Batanes,Prov,,0200000000
0201500000,021500000,Cagayan,Prov,,0200000000
0203100000,023100000,Isabela,Prov,,0200000000
0205000000,025000000,Nueva Vizcaya,Prov,,0200000000
0205700000,025700000,Quirino,Prov,,0200000000
0300800000,030800000,Bataan,Prov,,0300000000
0301400000,031400000,Bulacan,Prov,,0300000000
0304900000,034900000,Nueva Ecija,Prov,,0300000000
0305400000,035400000,Pampanga,Prov,,0300000000
0306900000,036900000,Tarlac,Prov,,0300000000
0307100000,037100000,Zambales,Prov,,0300000000
0307700000,037700000,Aurora,Prov,,0300000000
0401000000,041000000,Batangas,Prov,,0400000000
0402100000,042100000,Cavite,Prov,,0400000000
0403400000,043400000,Laguna,Prov,,0400000000
0405600000,045600000,Quezon,Prov,,0400000000
0405800000,045800000,Rizal,Prov,,0400000000
1704000000,174000000,Marinduque,Prov,,1700000000
1705100000,175100000,Occidental Mindoro,Prov,,1700000000
1705200000,175200000,Oriental Mindoro,Prov,,1700000000
1705300000,175300000,Palawan,Prov,,1700000000
1705900000,175900000,Romblon,Prov,,1700000000
0500500000,050500000,Albay,Prov,,0500000000
0501600000,051600000,Camarines Norte,Prov,,0500000000
0501700000,051700000,Camarines Sur,Prov,,0500000000
0502000000,052000000,Catanduanes,Prov,,0500000000
0504100000,054100000,Masbate,Prov,,0500000000
0506200000,056200000,Sorsogon,Prov,,0500000000
0600400000,060400000,Aklan,Prov,,0600000000
0600600000,060600000,Antique,Prov,,0600000000
0601900000,061900000,Capiz,Prov,,0600000000
0603000000,063000000,Iloilo,Prov,,0600000000
1804500000,064500000,Negros Occidental,Prov,,0600000000
0607900000,067900000,Guimaras,Prov,,0600000000
0701200000,071200000,Bohol,Prov,,0700000000
0702200000,072200000,Cebu,Prov,,0700000000
1804600000,074600000,Negros Oriental,Prov,,0700000000
1806100000,076100000,Siquijor,Prov,,0700000000
0802600000,082600000,Eastern Samar,Prov,,0800000000
0803700000,083700000,Leyte,Prov,,0800000000
0804800000,084800000,Northern Samar,Prov,,0800000000
0806000000,086000000,Samar,Prov,,0800000000
0806400000,086400000,Southern Leyte,Prov,,0800000000
0807800000,087800000,Biliran,Prov,,0800000000
0907200000,097200000,Zamboanga del Norte,Prov,,0900000000
0907300000,097300000,Zamboanga del Sur,Prov,,0900000000
0908300000,098300000,Zamboanga Sibugay,Prov,,0900000000
1001300000,101300000,Bukidnon,Prov,,1000000000
1001800000,101800000,Camiguin,Prov,,1000000000
1003500000,103500000,Lanao del Norte,Prov,,1000000000
1004200000,104200000,Misamis Occidental,Prov,,1000000000
1004300000,104300000,Misamis Oriental,Prov,,1000000000
1102300000,112300000,Davao del Norte,Prov,,1100000000
1102400000,112400000,Davao del Sur,Prov,,1100000000
1102500000,112500000,Davao Oriental,Prov,,1100000000
1108200000,118200000,Davao de Oro,Prov,,1100000000
1108600000,118600000,Davao Occidental,Prov,,1100000000
1204700000,124700000,Cotabato,Prov,,1200000000
1206300000,126300000,South Cotabato,Prov,,1200000000
1206500000,126500000,Sultan Kudarat,Prov,,1200000000
1208000000,128000000,Sarangani,Prov,,1200000000
1400100000,140100000,Abra,Prov,,1400000000
1401100000,141100000,Benguet,Prov,,1400000000
1402700000,142700000,Ifugao,Prov,,1400000000
1403200000,143200000,Kalinga,Prov,,1400000000
1404400000,144400000,Mountain Province,Prov,,1400000000
1408100000,148100000,Apayao,Prov,,1400000000
1900700000,150700000,Basilan,Prov,,1900000000
1903600000,153600000,Lanao del Sur,Prov,,1900000000
1908700000,,Maguindanao del Norte,Prov,,1900000000
1908800000,,Maguindanao del Sur,Prov,,1900000000
0906600000,156600000,Sulu,Prov,,1900000000
1907000000,157000000,Tawi-Tawi,Prov,,1900000000
1600200000,160200000,Agusan del Norte,Prov,,1600000000
1600300000,160300000,Agusan del Sur,Prov,,1600000000
1606700000,166700000,Surigao del Norte,Prov,,1600000000
1606800000,166800000,Surigao del Sur,Prov,,1600000000
1608500000,168500000,Dinagat Islands,Prov,,1600000000
1909900000,,Special Geographic Area,Prov,,1900000000
