# title: 2022 President by Barangay
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
1380601001,BARANGAY   1,546,317,17,365,18,3,0,4,1,1
1380601002,BARANGAY   2,505,205,7,272,21,2,0,3,0,1
1380601003,BARANGAY   3,339,140,9,178,10,1,0,2,0,0
1380601004,BARANGAY   4,513,227,15,407,10,1,1,3,1,0
1380601005,BARANGAY   5,315,163,4,221,5,0,0,0,0,0
1380601006,BARANGAY   6,207,90,3,157,7,0,0,1,0,1
1380601007,BARANGAY   7,454,170,9,350,20,3,1,0,0,0
1380601008,BARANGAY   8,220,71,3,95,9,0,0,0,0,1
1380601009,BARANGAY   9,175,71,5,97,4,55,2,1,0,0
1380601011,BARANGAY  11,399,177,11,359,9,1,1,0,1,0
1380601012,BARANGAY  12,458,184,6,412,15,1,1,1,2,1
1380601013,BARANGAY  13,533,173,7,397,18,1,1,0,0,0
1380601014,BARANGAY  14,454,145,1,341,10,1,0,3,1,1
1380601015,BARANGAY  15,332,128,2,287,5,1,0,0,1,0
1380601016,BARANGAY  16,435,169,7,402,13,2,1,1,0,1
1380601017,BARANGAY  17,438,166,10,387,5,2,0,1,0,0
1380601018,BARANGAY  18,565,256,7,376,13,0,0,0,2,0
1380601019,BARANGAY  19,371,139,6,329,8,0,0,1,0,2
1380601020,BARANGAY  20,7105,1860,202,6688,118,19,10,23,15,12
1380601025,BARANGAY  25,540,274,10,569,9,3,0,1,0,1
1380601026,BARANGAY  26,483,307,3,542,10,3,2,1,0,0
1380601028,BARANGAY  28,484,284,6,564,10,4,1,2,0,0
1380601029,BARANGAY  29,820,338,12,820,22,2,0,3,1,2
1380601030,BARANGAY  30,95,48,0,185,1,0,0,0,1,0
1380601031,BARANGAY  31,542,231,7,587,14,2,0,3,1,1
1380601032,BARANGAY  32,561,225,2,449,11,0,0,2,0,1
1380601033,BARANGAY  33,935,296,10,748,24,1,0,3,0,2
1380601034,BARANGAY  34,343,113,5,454,4,1,0,0,0,0
1380601035,BARANGAY  35,529,233,9,403,19,0,0,1,3,1
1380601036,BARANGAY  36,363,204,3,402,13,1,0,1,1,0
1380601037,BARANGAY  37,454,172,0,641,8,1,1,2,0,1
1380601038,BARANGAY  38,490,261,8,643,12,1,0,1,0,1
1380601039,BARANGAY  39,657,207,13,656,13,4,1,3,0,3
1380601041,BARANGAY  41,768,303,18,711,12,3,1,2,0,8
1380601042,BARANGAY  42,449,203,9,351,12,0,1,2,1,0
1380601043,BARANGAY  43,726,178,15,678,12,0,1,5,1,1
1380601044,BARANGAY  44,194,80,5,286,4,0,0,0,0,0
1380601045,BARANGAY  45,408,199,2,343,13,0,0,1,1,0
1380601046,BARANGAY  46,445,232,8,399,14,0,0,3,0,0
1380601047,BARANGAY  47,397,185,8,329,9,2,0,1,0,0
1380601048,BARANGAY  48,845,409,9,705,16,3,2,1,3,1
1380601049,BARANGAY  49,447,216,11,495,17,1,0,2,3,0
1380601050,BARANGAY  50,739,456,4,972,21,7,1,5,2,0
1380601051,BARANGAY  51,604,379,15,589,25,7,0,2,3,0
1380601052,BARANGAY  52,595,297,7,627,20,2,0,3,0,0
1380601053,BARANGAY  53,491,274,1,520,13,2,0,0,1,0
1380601054,BARANGAY  54,402,286,8,307,16,0,1,1,0,0
1380601055,BARANGAY  55,466,285,12,693,15,0,0,0,0,0
1380601056,BARANGAY  56,592,308,10,964,14,1,1,0,0,0
1380601057,BARANGAY  57,279,97,3,266,7,0,0,2,0,0
1380601058,BARANGAY  58,758,399,6,926,30,0,1,3,1,0
1380601059,BARANGAY  59,271,127,9,330,13,2,0,0,0,0
1380601060,BARANGAY  60,496,208,5,547,20,0,1,0,0,0
1380601061,BARANGAY  61,570,258,7,673,26,1,0,1,0,1
1380601062,BARANGAY  62,452,256,11,521,11,0,0,3,0,0
1380601063,BARANGAY  63,352,178,5,378,11,1,0,1,2,0
1380601064,BARANGAY  64,165,96,0,132,4,0,0,0,0,3
1380601065,BARANGAY  65,165,77,0,196,7,0,0,0,0,0
1380601066,BARANGAY  66,437,222,7,512,15,2,0,0,0,1
1380601067,BARANGAY  67,629,236,6,729,16,2,1,2,1,0
1380601068,BARANGAY  68,348,115,3,265,7,0,0,0,0,0
1380601069,BARANGAY  69,439,275,3,534,13,0,0,3,1,0
1380601070,BARANGAY  70,566,248,8,593,4,0,0,0,1,0
1380601071,BARANGAY  71,350,232,4,555,8,2,0,1,1,0
1380601072,BARANGAY  72,797,321,4,888,19,4,0,4,1,1
1380601073,BARANGAY  73,440,141,1,482,8,0,0,0,0,0
1380601074,BARANGAY  74,301,134,2,313,10,0,1,0,0,0
1380601075,BARANGAY  75,286,187,2,270,9,0,0,0,0,0
1380601076,BARANGAY  76,351,254,5,439,11,0,0,1,0,0
1380601077,BARANGAY  77,262,168,5,361,8,0,0,2,0,0
1380601078,BARANGAY  78,317,161,4,221,12,0,1,0,1,0
1380601079,BARANGAY  79,429,154,3,475,10,0,0,2,0,0
1380601080,BARANGAY  80,641,211,12,763,16,2,0,1,3,1
1380601081,BARANGAY  81,364,150,6,384,14,1,2,0,2,0
1380601082,BARANGAY  82,441,247,11,557,14,2,0,3,2,0
1380601083,BARANGAY  83,219,148,5,327,8,1,0,2,1,1
1380601084,BARANGAY  84,247,169,7,341,7,0,0,3,0,0
1380601085,BARANGAY  85,657,251,4,945,13,1,0,2,0,0
1380601086,BARANGAY  86,452,235,5,396,21,2,0,0,0,2
1380601087,BARANGAY  87,339,195,10,321,13,1,1,1,0,1
