psgc,level,gdp_2022,gdp_2023,gdp_2024
1300000000,region,6268351530600,6574558157650,6941893739700
1380100000,city,228254436100,235553606130,249861976280
1380200000,city,107158298040,112043928750,116997788110
1380300000,city,1055000658040,1122291186520,1204758000540
1380400000,city,65371247010,67436025340,72341095550
1380500000,city,284246349780,301165772830,320426768070
1380600000,city,966254470250,987769079950,1039598124910
1380700000,city,111553246820,117709221430,120901660910
1380800000,city,254155239530,264710393100,273111497130
1380900000,city,38722860020,39960908930,41109761660
1381000000,city,315734521230,343056225490,366436387280
1381100000,city,315333717020,336737266770,359089958490
1381200000,city,460133543820,482072666250,513239670510
1381300000,city,1215974841770,1271363241230,1326791202850
1381400000,city,83867790440,87909423590,92335375230
1381500000,city,592760107710,626755238370,656308588470
1381600000,city,165032021860,168887241280,178958390300
1400000000,region,337753055470,360896543240,378264592100
1400100000,province,24567120960,25642082060,25900637890
1408100000,province,11504986110,12032843870,12066333410
1401100000,province,78775673370,82760016650,86906512340
1402700000,province,25768884490,26822966310,28244154440
1403200000,province,27135659050,28748824150,29896580820
1404400000,province,14888533530,15870920500,16404092440
1430300000,city,155112197960,169018889710,178846280760
0100000000,region,654835321820,700987609030,735616621480
0102800000,province,93093687240,101009123260,106507697720
0102900000,province,90235317350,97772677950,103217522340
0103300000,province,118606729530,127164105370,134275242270
0105500000,province,352899587700,375041702460,391616159140
0200000000,region,421045562300,446886667270,470717202880
0200900000,province,4572303460,5231670020,5732164860
0201500000,province,148746018020,159329058340,166429909490
0203100000,province,188821248220,197483607390,210052343260
0205000000,province,57777800240,62765591330,65505414540
0205700000,province,21128192360,22076740200,22997370720
0300000000,region,2184784695040,2316974675970,2467916742810
0307700000,province,32911565780,34389474360,36073146710
0300800000,province,258774889510,275011727750,300609267110
0301400000,province,598051868320,631333284540,675524594080
0304900000,province,298005682700,314108846360,331958426390
0305400000,province,531943320680,566327002380,595358788100
0306900000,province,192855211770,205444449250,220969948110
0307100000,province,88265241790,92621758020,96743249880
0330100000,city,131889229180,141748293520,151473009640
0331400000,city,52087685300,55989839790,59206312780
0400000000,region,2942514949760,3094205366600,3266385078040
0401000000,province,615718721490,645439757510,688624634480
0402100000,province,731325258100,779907648620,822154506600
