"A. POPULATION AND ANNUAL POPULATION GROWTH RATE OF THE PHILIPPINES AND ITS REGIONS, PROVINCES, AND HIGHLY",,,,,,,,,,,,,
"URBANIZED CITIES BASED ON THE 2010, 2015, 2020, AND 2024 POPULATION CENSUSES",,,,,,,,,,,,,
,,,,,,,,,,,,,
"REGION, PROVINCE, AND HIGHLY
URBANIZED CITY",,TOTAL POPULATION,,,,,,,,POPULATION GROWTH RATE,,,
,,01-May-10,,01-Aug-15,,01-May-20,,01-Jul-24,,2010-2015,2015-2020,2015-2024,2020-2024
,,,,,,,,,,,,,
PHILIPPINES,,"92,337,852",a,"100,981,437",b,"109,035,343",c,"112,729,484",d,1.72,1.63,1.24,0.80
,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),,"11,855,975",,"12,877,253",,"13,484,462",,"14,001,751",,1.58,0.97,0.94,0.91
CITY OF CALOOCAN,,"1,489,040",,"1,583,978",,"1,661,584",,"1,712,945",,1.18,1.01,0.88,0.73
CITY OF LAS PI„AS,,"552,573",,"588,894",,"606,293",,"615,549",,1.22,0.61,0.50,0.36
CITY OF MAKATI 1,,"263,683",,"280,150",,"292,743",,"309,770",,1.16,0.93,1.13,1.37
CITY OF MALABON,,"353,337",,"365,525",,"380,522",,"389,929",,0.65,0.85,0.73,0.59
CITY OF MANDALUYONG,,"328,699",,"386,276",,"425,758",,"465,902",,3.12,2.07,2.12,2.18
CITY OF MANILA,,"1,652,171",,"1,780,148",,"1,846,513",,"1,902,590",,1.43,0.77,0.75,0.72
CITY OF MARIKINA,,"424,150",,"450,741",,"456,059",,"471,323",,1.16,0.25,0.50,0.79
CITY OF MUNTINLUPA,,"459,941",,"504,509",,"543,445",,"552,225",,1.78,1.58,1.02,0.39
CITY OF NAVOTAS,,"249,131",,"249,463",,"247,543",,"252,878",,0.03,-0.16,0.15,0.51
CITY OF PARA„AQUE,,"588,126",,"665,822",,"689,992",,"703,245",,2.39,0.75,0.61,0.46
PASAY CITY,,"392,869",,"416,522",,"440,656",,"453,186",,1.12,1.19,0.95,0.67
CITY OF PASIG,,"669,773",,"755,300",,"803,159",,"853,050",,2.31,1.30,1.37,1.46
QUEZON CITY,,"2,761,720",,"2,936,116",,"2,960,048",,"3,084,270",,1.17,0.17,0.55,0.99
CITY OF SAN JUAN,,"121,430",,"122,180",,"126,347",,"134,312",,0.12,0.71,1.07,1.48
CITY OF TAGUIG 2,,"909,829",,"1,107,367",,"1,223,595",,"1,308,085",,3.81,2.12,1.88,1.61
CITY OF VALENZUELA,,"575,356",,"620,422",,"714,978",,"725,173",,1.45,3.03,1.76,0.34
PATEROS,,"64,147",,"63,840",,"65,227",,"67,319",,-0.09,0.45,0.60,0.76
,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),,"1,616,867",,"1,722,006",,"1,797,660",,"1,808,985",,1.21,0.91,0.55,0.15
ABRA,,"234,733",,"241,160",,"250,985",,"246,948",,0.52,0.84,0.27,-0.39
APAYAO,,"112,636",,"119,184",,"124,366",,"126,587",,1.08,0.90,0.68,0.43
BENGUET *,,"403,944",,"446,224",,"460,683",,"473,190",,1.91,0.67,0.66,0.64
