# title: 2022 President by City/Municipality
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
0102801000,ADAMS,1545,53,18,6,8,1,2,0,2,0
0102802000,BACARRA,19068,438,9,72,65,3,13,11,9,6
0102803000,BADOC,18777,376,23,49,67,3,14,9,7,11
0102804000,BANGUI,9420,208,54,30,39,1,3,6,4,6
0102805000,CITY OF BATAC,33990,925,43,87,125,19,23,11,12,12
0102806000,BURGOS,6297,107,13,11,22,1,4,5,3,0
0102807000,CARASI,1107,23,3,2,3,0,4,1,1,0
0102808000,CURRIMAO,9123,194,10,20,33,2,7,5,4,3
0102809000,DINGRAS,22334,298,32,72,44,8,10,10,14,20
0102810000,DUMALNEG,1673,72,7,10,9,0,2,1,5,2
0102811000,BANNA,11048,121,9,10,16,1,9,4,6,5
0102812000,CITY OF LAOAG,62696,3820,231,493,789,80,41,35,36,24
0102813000,MARCOS,11126,180,21,34,29,3,11,5,7,7
0102814000,NUEVA ERA,5088,57,2,1,3,0,0,1,2,1
0102815000,PAGUDPUD,15723,285,70,48,52,8,14,17,5,10
0102816000,PAOAY,14874,359,16,67,66,2,10,8,6,7
0102817000,PASUQUIN,18302,411,35,95,121,7,33,13,7,9
0102818000,PIDDIG,12317,314,292,47,59,2,30,24,20,19
0102819000,PINILI,10876,148,7,29,38,2,2,1,2,9
0102820000,SAN NICOLAS,21933,665,39,89,129,6,8,8,12,5
0102821000,SARRAT,15099,303,33,52,78,3,9,4,10,13
0102822000,SOLSONA,15315,223,26,36,44,9,10,13,10,16
0102823000,VINTAR,18490,463,53,66,89,3,21,8,8,8
0102901000,ALILEM,3926,140,23,15,20,3,5,3,3,1
0102902000,BANAYOYO,5277,138,18,10,19,1,4,5,4,1
0102903000,BANTAY,18027,1012,53,73,93,70,10,9,6,7
0102904000,BURGOS,7481,129,11,21,19,4,6,2,7,0
0102905000,CABUGAO,23639,645,36,61,62,30,16,10,12,5
0102906000,CITY OF CANDON,31479,1512,94,147,146,51,35,12,21,16
0102907000,CAOAYAN,11937,431,19,36,51,1,6,3,5,4
0102908000,CERVANTES,9353,331,186,74,64,5,7,4,10,6
0102909000,GALIMUYOD,6172,291,16,25,26,4,5,3,5,5
0102910000,GREGORIO DEL PILAR,2706,106,10,6,24,0,1,0,2,0
0102911000,LIDLIDDA,2930,60,10,4,15,3,1,5,0,0
0102912000,MAGSINGAL,17428,424,53,53,43,8,13,11,11,11
0102913000,NAGBUKEL,3320,70,3,8,6,0,3,0,3,0
0102914000,NARVACAN,25530,1100,50,119,93,23,33,25,18,9
0102915000,QUIRINO,5378,145,36,22,22,4,2,1,3,4
0102916000,SALCEDO,6587,194,11,11,23,0,4,1,3,1
0102917000,SAN EMILIO,4622,100,18,11,26,2,4,3,3,5
0102918000,SAN ESTEBAN,5180,136,3,17,18,1,10,2,0,2
0102919000,SAN ILDEFONSO,4783,234,12,16,28,2,2,6,2,1
0102920000,SAN JUAN,15494,431,22,48,36,3,5,4,4,4
0102921000,SAN VICENTE,7394,434,27,19,34,2,6,2,4,1
0102922000,SANTA,8262,425,10,18,33,1,8,3,4,0
0102923000,SANTA CATALINA,8599,545,26,44,35,0,2,1,4,3
0102924000,SANTA CRUZ,20955,705,64,79,92,14,20,9,7,12
0102925000,SANTA LUCIA,14183,592,32,69,67,4,13,3,4,5
0102926000,SANTA MARIA,16956,578,34,56,51,36,31,13,10,9
0102927000,SANTIAGO,11009,306,39,42,39,3,15,3,4,12
0102928000,SANTO DOMINGO,16699,615,43,72,51,17,13,9,11,8
0102929000,SIGAY,1666,67,13,7,17,1,1,1,0,1
0102930000,SINAIT,16185,387,39,33,37,7,12,14,6,5
0102931000,SUGPON,2117,101,56,9,42,1,16,2,2,7
0102932000,SUYO,6136,142,58,33,43,2,5,5,7,3
0102933000,TAGUDIN,22950,901,70,103,147,34,42,24,19,18
0102934000,CITY OF VIGAN,27613,2244,87,150,234,6,29,18,16,10
0103301000,AGOO,34993,2432,140,270,320,79,62,50,32,22
0103302000,ARINGAY,26234,1421,152,201,191,10,25,29,28,10
0103303000,BACNOTAN,22213,1237,118,123,161,6,11,7,13,14
0103304000,BAGULIN,7546,281,296,58,90,5,15,23,12,17
0103305000,BALAOAN,21638,829,60,72,72,3,25,11,13,13
0103306000,BANGAR,18578,754,121,95,94,4,4,5,10,5
0103307000,BAUANG,39761,2377,207,283,311,13,50,138,29,26
0103308000,BURGOS,5149,278,121,64,76,3,2,15,3,6
0103309000,CABA,13577,679,93,103,110,4,20,24,16,11
0103310000,LUNA,20606,767,89,77,119,4,19,13,21,16
0103311000,NAGUILIAN,29039,1506,225,192,194,4,40,31,18,5
0103312000,PUGO,10006,617,84,78,102,5,5,19,8,7
0103313000,ROSARIO,28981,1576,158,202,246,32,36,39,15,14
0103314000,CITY OF SAN FERNANDO,59678,5560,288,504,688,64,48,70,49,32
0103315000,SAN GABRIEL,10620,395,139,56,96,11,14,15,13,8
0103316000,SAN JUAN,21599,1311,118,127,159,7,23,11,11,11
0103317000,SANTO TOMAS,20586,1235,149,173,153,4,39,34,12,7
0103318000,SANTOL,7602,154,114,43,27,1,7,8,5,18
0103319000,SUDIPEN,10868,389,89,57,56,0,11,6,7,4
0103320000,TUBAO,16518,768,98,90,113,3,16,16,22,20
0105501000,AGNO,14655,1505,318,231,172,13,34,25,24,23
0105502000,AGUILAR,19037,4719,496,563,402,34,57,56,55,37
0105503000,CITY OF ALAMINOS,41969,7259,703,1073,521,119,68,81,55,54
0105504000,ALCALA,23109,2288,212,276,212,29,40,23,22,24
0105505000,ANDA,16660,3545,783,748,419,14,30,44,24,50
0105506000,ASINGAN,30569,2748,242,400,273,26,58,34,28,19
0105507000,BALUNGAO,15730,1263,136,201,142,7,17,29,14,26
0105508000,BANI,21761,3270,425,517,402,15,58,44,39,29
0105509000,BASISTA,14585,4605,581,954,389,15,49,59,37,28
0105510000,BAUTISTA,14916,2962,247,367,314,7,51,30,29,18
0105511000,BAYAMBANG,52579,12671,1368,1496,985,90,143,78,112,71
0105512000,BINALONAN,29399,2425,153,451,267,27,41,35,30,33
0105513000,BINMALEY,32325,14561,1440,2152,922,31,104,113,161,64
0105514000,BOLINAO,31534,5500,999,698,814,18,104,92,73,47
0105515000,BUGALLON,28442,9402,1059,1673,923,34,89,117,77,38
0105516000,BURGOS,9648,1373,104,203,177,7,29,32,22,12
0105517000,CALASIAO,38134,13937,1186,2283,924,20,99,86,106,58
0105518000,CITY OF DAGUPAN,78746,31173,2347,4418,2324,233,420,222,231,134
0105519000,DASOL,15730,2475,320,505,236,12,87,29,30,23
0105520000,INFANTA,11496,1848,503,429,170,11,34,23,23,55
0105521000,LABRADOR,11560,3115,303,679,286,8,43,34,33,22
0105522000,LINGAYEN,40572,15187,1515,2246,1598,50,119,119,111,45
0105523000,MABINI,12033,1925,255,429,169,6,29,61,23,19
