psgc,level,region,province,winner,winner_votes,total_votes
1404400000,province,CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,Bongbong Marcos,70876,87440
0105500000,province,REGION I,PANGASINAN,Bongbong Marcos,1371178,1757671
0205700000,province,REGION II,QUIRINO,Bongbong Marcos,84373,102515
0307100000,province,REGION III,ZAMBALES,Bongbong Marcos,291252,446525
0405800000,province,REGION IV-A,RIZAL,Bongbong Marcos,764642,1274477
1705900000,province,REGION IV-B,ROMBLON,Bongbong Marcos,71127,166480
0506200000,province,REGION V,SORSOGON,Leni Robredo,333112,449677
1804500000,province,REGION VI,NEGROS OCCIDENTAL,Leni Robredo,638231,1527341
1806100000,province,REGION VII,SIQUIJOR,Bongbong Marcos,31412,61850
0806400000,province,REGION VIII,SOUTHERN LEYTE,Bongbong Marcos,157809,236506
0908300000,province,REGION IX,ZAMBOANGA SIBUGAY,Bongbong Marcos,167885,313658
1004300000,province,REGION X,MISAMIS ORIENTAL,Bongbong Marcos,612387,837620
1102500000,province,REGION XI,DAVAO ORIENTAL,Bongbong Marcos,230885,308681
1206500000,province,REGION XII,SULTAN KUDARAT,Bongbong Marcos,252172,369732
1907000000,province,BARMM,TAWI-TAWI,Bongbong Marcos,141954,172898
