# title: 2022 President by Province
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
0102800000,Ilocos Norte,356221,10043,1046,1426,1928,164,280,200,192,193
0102900000,Ilocos Sur,391973,15671,1282,1511,1756,343,385,216,220,176
0103300000,La Union,425792,24566,2859,2868,3378,262,472,564,337,266
0105500000,Pangasinan,1378128,280156,29341,42397,24013,1701,3531,3150,2786,1776
0200900000,Batanes,4358,5195,182,725,567,7,17,34,25,11
0201500000,Cagayan,556613,47384,5505,5644,6001,577,1163,1037,739,651
0203100000,Isabela,763274,82132,13040,9468,8302,775,1960,1287,1099,1050
0205000000,Nueva Vizcaya,200111,25339,7932,5499,4546,302,367,377,232,335
0205700000,Quirino,84515,8134,4726,2545,2093,77,169,165,114,276
0300800000,Bataan,334642,109757,7452,21158,9767,453,671,544,1508,324
0301400000,Bulacan,1040157,500285,36467,92610,44934,1517,2399,3056,2312,1380
0304900000,Nueva Ecija,945388,236827,13665,27862,26795,1244,1956,1576,1602,1005
0305400000,Pampanga,865122,370624,24158,56796,19142,1354,1933,1605,2471,1156
0306900000,Tarlac,426626,291410,12513,21660,9830,649,1422,1040,1399,573
0307100000,Zambales,291252,114105,10487,17214,9969,878,703,752,633,532
0307700000,Aurora,83719,29660,6071,3026,2960,116,243,203,187,161
