psgc,level,name,region,province,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
1400100000,province,Abra,CAR,,,,,,,,,,,
1408100000,province,Apayao,CAR,,7036949,1135307,5901642,1862315,1005232,-113616,743467,1888927,-271377,1617550
1401100000,province,Benguet,CAR,,6658318,808212,5850106,2304115,2789909,336073,-149721,948311,80309,1028620
1402700000,province,Ifugao,CAR,,4282353,931685,3350668,1461792,1107208,-474008,-119423,1422984,-215298,1207686
1403200000,province,Kalinga,CAR,,5497417,1429611,4067806,1682211,1451819,-66746,163646,992873,-456800,536073
1404400000,province,Mountain Province,CAR,,8519747,1065788,7453959,1376672,1363825,146646,159493,520591,-1268,519324
0102800000,province,Ilocos Norte,REGION I,,12907956,3153354,9754602,4218278,2882615,-55169,1280493,3098227,1322764,4420991
0102900000,province,Ilocos Sur,REGION I,,26118116,4179443,21938673,9721093,4427356,-40448,5253289,6531600,1771886,8303487
0103300000,province,La Union,REGION I,,11279057,1150013,10129045,3536044,2172905,51167,1414306,3316310,524181,3840490
0105500000,province,Pangasinan,REGION I,,20471665,4881851,15589814,7727507,6787535,217397,1157368,6577337,-757646,5819691
0200900000,province,Batanes,REGION II,,2147110,506710,1640399,689472,598554,-40968,49950,771027,113278,884305
0201500000,province,Cagayan,REGION II,,14233643,1539214,12694429,3937141,2687009,-29183,1220948,5983416,775772,6759189
0203100000,province,Isabela,REGION II,,20423014,4686183,15736832,6933361,5215585,-222345,1495431,5325290,1532047,6857336
0205000000,province,Nueva Vizcaya,REGION II,,7873511,1868425,6005086,2280797,2020956,-69197,190644,1459691,-146331,1313360
0205700000,province,Quirino,REGION II,,5436419,1148827,4287591,1698565,1626569,-26783,45213,1042154,-16760,1025394
0307700000,province,Aurora,REGION III,,5197129,1067521,4129608,1599042,1462326,-28946,107770,1127801,-178441,949360
0300800000,province,Bataan,REGION III,,13483261,4804956,8678305,4421502,3615499,302415,1108418,786417,619175,1405591
0301400000,province,Bulacan,REGION III,,15477403,2159054,13318349,8810991,7433051,69774,1447714,2269509,126401,2395910
0304900000,province,Nueva Ecija,REGION III,,16170009,5052960,11117050,4930130,4566933,-206478,156720,4204216,-54090,4150126
0305400000,province,Pampanga,REGION III,,21194360,4580462,16613898,5847425,5009459,-235374,602591,7150706,136598,7287304
0306900000,province,Tarlac,REGION III,,18714937,4068064,14646873,3469637,2809418,-96410,563809,2176436,781518,2957954
0307100000,province,Zambales,REGION III,,13753674,3173830,10579844,3089712,2883103,101829,308438,2232091,-412590,1819501
0401000000,province,Batangas,REGION IV-A,,32611687,5872347,26739339,5789290,5748745,284743,325288,7076677,207501,7284178
0402100000,province,Cavite,REGION IV-A,,26770445,4728019,22042426,7307885,4918157,-149731,2239996,10804378,1692847,12497225
0403400000,province,Laguna,REGION IV-A,,14326063,3010531,11315532,5892444,4200431,-177471,1514542,4666302,338167,5004469
0405600000,province,Quezon,REGION IV-A,,16846450,5134516,11711935,6271528,4789318,534758,2016968,6580244,351274,6931518
0405800000,province,Rizal,REGION IV-A,,44095384,3259753,40835632,7549845,4078075,44547,3516317,16104500,2286236,18390737
1704000000,province,Marinduque,REGION IV-B,,4637179,1321621,3315559,1123977,994976,-19870,109131,1826198,-70145,1756052
1705100000,province,Occidental Mindoro,REGION IV-B,,5259412,711381,4548031,2276406,2499588,601586,378404,874673,-186157,688516
1705200000,province,Oriental Mindoro,REGION IV-B,,11135912,2462267,8673645,3177524,2308586,-55030,813908,2674439,-92187,2582252
1705300000,province,Palawan,REGION IV-B,,20644068,7386374,13257694,4969538,4227098,-81125,661315,6132989,1308216,7441206
