level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
province,CAR,,Regional Total,31994784,5370603,26624181,8687104,7717992,-171650,797462,5773686,-864434,4909253
province,REGION I,,Regional Total,71103477,13440551,57662927,25377026,16540623,323315,9159718,19540734,2880310,22421044
province,REGION II,,Regional Total,50113696,9749359,40364337,15539335,12148673,-388475,3002187,14581578,2258006,16839584
province,REGION III,,Regional Total,103990774,24906847,79083927,32168439,27779789,-93190,4295460,19947176,1018570,20965746
province,REGION IV-A,,Regional Total,134650028,22005165,112644863,32810992,23734726,536846,9613112,45232101,4876025,50108126
province,REGION IV-B,,Regional Total,46412507,12634622,33777885,13087250,11229704,435078,2292623,13221633,1078684,14300317
province,REGION V,,Regional Total,80348522,16126925,64221597,16237517,14334998,-440154,1462364,10787614,-101893,10685721
province,REGION VI,,Regional Total,78446842,21898335,56548507,20546212,16297861,-795296,3453055,21748333,934404,22682737
province,REGION VII,,Regional Total,376115664,10713614,365402051,16258462,10979265,-1863121,3416075,16187612,-45958,16141654
province,REGION VIII,,Regional Total,59059285,15032695,44026590,15039855,12931409,778450,2886895,15217805,712715,15930520
province,REGION IX,,Regional Total,35382914,7807460,27575455,8094794,6652660,23018,1465152,5897262,-928428,4968834
province,REGION X,,Regional Total,55780452,11556788,44223663,14385762,12056673,-180718,2148370,12899824,-1359248,11540576
province,REGION XI,,Regional Total,56632567,9713198,46919369,13241430,12314576,-134041,792813,5963539,436761,6400300
province,REGION XII,,Regional Total,37547336,6138850,31408485,12304611,9662771,61606,2703447,6583707,-839850,5743856
province,REGION XIII,,Regional Total,48466546,8894224,39572322,10849506,9195643,-397922,1255940,8155808,-981654,7174154
province,BARMM,,Regional Total,29566509,8223026,21343483,14019598,12630790,-322775,1066032,4395784,758503,5154287
city,NCR,,Regional Total,1149156317,209728806,939427511,178830553,156645347,-6695617,15489588,129633037,-2509367,127123670
city,CAR,,Regional Total,22602131,10028063,12574068,4406023,3575290,-115828,714905,2284560,4042554,6327114
